sub_region,sub_region_code,2016,2017,2018,2019
"Southern Asia",034,365544436306.24097,418377477027.3412,430828701347.8852,449427030203.8962
"Southern Europe",039,264706781727.79428,279416850994.44806,300247254215.95026,291423008610.51605
"Northern Africa",015,119340652131.31963,105922932680.64775,110171816860.55214,116944148156.4376
Polynesia,061,472258386.618295,476174307.62047964,487358324.04733926,224481620.13758636
"Sub-Saharan Africa",202,32765298965.8991,35134970508.541016,37214362781.767525,38285874090.85619
"Latin America and the Caribbean",419,138216880275.30203,153488754329.69244,149140949860.44617,143662298539.63565
"Western Asia",145,172633735416.51578,181966933227.618,192080640061.3095,190155123078.9734
"Australia and New Zealand",053,698535329243.257,767775810851.197,820912481230.9346,799804677436.5375
"Western Europe",155,1041400759420.4532,1095936685883.4224,1179120078404.1433,1152540938078.315
"Eastern Europe",151,255249179159.90887,300071853995.6979,327560634569.5751,335174127288.4406
"South-eastern Asia",035,236834729296.5668,255155415161.5911,273312597144.6924,288619418226.5025
"Northern America",021,6746046198588.403,7046032853050.829,7416121140691.118,7703614835742.22
"Eastern Asia",030,3005556426154.5825,3200765922471.8867,3500014738606.7305,3583466187588.4995
"Northern Europe",154,454837587211.8285,465521580508.64465,500878688252.01025,491073189212.1745
Melanesia,054,6931016460.635716,7571423165.6793785,7812728324.737617,8211823370.943866
Micronesia,057,1165195060.2841609,1230675964.648301,1210137784.2408042,44695804.58155971
"Central Asia",143,53800620525.58467,55750566323.7874,57257560384.65639,50930854804.514565
