sub_region,sub_region_code,avg(g.2016),avg(g.2017),avg(g.2018),avg(g.2019)
"Southern Asia",034,369376333750.963,421058269669.4433,382696069732.101,399436906775.33673
"Southern Europe",039,246594237935.82092,260455214410.63858,280751147602.588,272285783041.0804
"Northern Africa",015,117773435227.00505,104095054594.66212,107588538488.73497,113844674485.36378
Polynesia,061,247975815.79405594,260069554.55607748,262355824.4127596,175736293.67704788
"Sub-Saharan Africa",202,29893876020.405308,31890664258.347286,33630351614.337708,34761888835.444374
"Latin America and the Caribbean",419,114767754648.25572,125219337187.73499,120598390293.91199,118421498225.28964
"Western Asia",145,163852962949.30106,172453823822.38608,181624030936.18054,171219602040.76852
"Australia and New Zealand",053,681031384639.895,744344408348.71,793042533706.224,773843949078.985
"Western Europe",155,938113022495.3452,990471889735.7363,1064844829358.0564,1041972120339.6431
"Eastern Europe",151,247473230724.45084,291308183877.8577,318606142611.3257,323946149968.4673
"Northern America",021,5138684343334.418,5365247151455.725,5632863356925.175,5835887429855.065
"South-eastern Asia",035,231997887021.38254,248699103758.2581,265340863840.08896,280893160801.758
"Eastern Asia",030,2594768314926.4067,2769128026725.7812,3020719309210.434,3089482903373.4077
"Northern Europe",154,371776677447.6058,382572031166.2541,409822609206.64575,401679525516.66864
Melanesia,054,5443405954.927473,5887411668.842095,6041129984.549871,6358966367.388658
Micronesia,057,203803526.6763187,214656987.20754045,217723938.32658145,79400004.47043243
"Central Asia",143,51267362449.59646,52216990063.64555,52998251704.83843,46790138253.02033
